会社ID,会社名,地域,都道府県,本社所在地,営業エリア,戸建て取扱,収益不動産取扱,その他取扱物件,問い合わせフォーム,公式URL,問い合わせURL,サービスURL,電話番号,特徴・強み,根拠URL,確認日,確認状態,優先度,備考,事業者区分,公開メールアドレス,公式サイト確信度,公式サイトスコア,物上げ適性スコア,物上げ適性シグナル
RE-MLIT-03-00001024,株式会社タキムラ,北海道・東北,岩手県,要確認,岩手県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=03&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-19,公的登録確認・公式サイト要確認,B,免許行政庁: 岩手県; 免許番号: 第001024号; 自動追加日: 2026-08-19,宅地建物取引業者,,,,,
RE-MLIT-03-00001049,株式会社北上土地,北海道・東北,岩手県,要確認,岩手県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=03&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-19,公的登録確認・公式サイト要確認,B,免許行政庁: 岩手県; 免許番号: 第001049号; 自動追加日: 2026-08-19,宅地建物取引業者,,,,,
RE-MLIT-03-00001029,株式会社大一土地,北海道・東北,岩手県,要確認,岩手県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=03&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-19,公的登録確認・公式サイト要確認,B,免許行政庁: 岩手県; 免許番号: 第001029号; 自動追加日: 2026-08-19,宅地建物取引業者,,,,,
RE-MLIT-03-00001009,菱和産業株式会社,北海道・東北,岩手県,要確認,岩手県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=03&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-19,公的登録確認・公式サイト要確認,B,免許行政庁: 岩手県; 免許番号: 第001009号; 自動追加日: 2026-08-19,宅地建物取引業者,,,,,
RE-MLIT-03-00001027,陸中建設株式会社,北海道・東北,岩手県,要確認,岩手県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=03&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-19,公的登録確認・公式サイト要確認,B,免許行政庁: 岩手県; 免許番号: 第001027号; 自動追加日: 2026-08-19,宅地建物取引業者,,,,,
RE-MLIT-03-00001063,館坂土地,北海道・東北,岩手県,要確認,岩手県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=03&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-19,公的登録確認・公式サイト要確認,B,免許行政庁: 岩手県; 免許番号: 第001063号; 自動追加日: 2026-08-19,宅地建物取引業者,,,,,
RE-MLIT-03-00001010,高幸不動産有限会社,北海道・東北,岩手県,要確認,岩手県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=03&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-19,公的登録確認・公式サイト要確認,B,免許行政庁: 岩手県; 免許番号: 第001010号; 自動追加日: 2026-08-19,宅地建物取引業者,,,,,
RE-MLIT-02-00000586,三和興業株式会社,北海道・東北,青森県,要確認,青森県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=02&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-18,公的登録確認・公式サイト要確認,B,免許行政庁: 青森県; 免許番号: 第000586号; 自動追加日: 2026-08-18,宅地建物取引業者,,,,,
RE-MLIT-02-00000533,南不動産有限会社,北海道・東北,青森県,要確認,青森県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=02&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-18,公的登録確認・公式サイト要確認,B,免許行政庁: 青森県; 免許番号: 第000533号; 自動追加日: 2026-08-18,宅地建物取引業者,,,,,
RE-MLIT-02-00000167,宝不動産株式会社,北海道・東北,青森県,要確認,青森県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=02&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-18,公的登録確認・公式サイト要確認,B,免許行政庁: 青森県; 免許番号: 第000167号; 自動追加日: 2026-08-18,宅地建物取引業者,,,,,
RE-MLIT-02-00000582,有限会社南商事,北海道・東北,青森県,要確認,青森県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=02&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-18,公的登録確認・公式サイト要確認,B,免許行政庁: 青森県; 免許番号: 第000582号; 自動追加日: 2026-08-18,宅地建物取引業者,,,,,
RE-MLIT-02-00000402,東信商事株式会社,北海道・東北,青森県,要確認,青森県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=02&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-18,公的登録確認・公式サイト要確認,B,免許行政庁: 青森県; 免許番号: 第000402号; 自動追加日: 2026-08-18,宅地建物取引業者,,,,,
RE-MLIT-02-00000851,株式会社サンエフ,北海道・東北,青森県,要確認,青森県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=02&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-18,公的登録確認・公式サイト要確認,B,免許行政庁: 青森県; 免許番号: 第000851号; 自動追加日: 2026-08-18,宅地建物取引業者,,,,,
RE-MLIT-02-00000567,株式会社千代田不動産,北海道・東北,青森県,要確認,青森県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=02&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-18,公的登録確認・公式サイト要確認,B,免許行政庁: 青森県; 免許番号: 第000567号; 自動追加日: 2026-08-18,宅地建物取引業者,,,,,
RE-MLIT-02-00000902,株式会社青森建設工業社,北海道・東北,青森県,要確認,青森県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=02&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-18,公的登録確認・公式サイト要確認,B,免許行政庁: 青森県; 免許番号: 第000902号; 自動追加日: 2026-08-18,宅地建物取引業者,,,,,
RE-MLIT-02-00000501,株式会社鹿内組,北海道・東北,青森県,要確認,青森県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=02&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-18,公的登録確認・公式サイト要確認,B,免許行政庁: 青森県; 免許番号: 第000501号; 自動追加日: 2026-08-18,宅地建物取引業者,,,,,
RE-MLIT-02-00000100,長成不動産株式会社,北海道・東北,青森県,要確認,青森県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=02&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-18,公的登録確認・公式サイト要確認,B,免許行政庁: 青森県; 免許番号: 第000100号; 自動追加日: 2026-08-18,宅地建物取引業者,,,,,
RE-MLIT-26-00000006,丸美不動産株式会社,近畿,京都府,要確認,京都府,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=26&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-14,公的登録確認・公式サイト要確認,B,免許行政庁: 京都府; 免許番号: 第000006号; 自動追加日: 2026-08-14,宅地建物取引業者,,,,,
RE-MLIT-26-00000023,有限会社田中良不動産,近畿,京都府,要確認,京都府,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=26&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-14,公的登録確認・公式サイト要確認,B,免許行政庁: 京都府; 免許番号: 第000023号; 自動追加日: 2026-08-14,宅地建物取引業者,,,,,
RE-MLIT-26-00000219,栄住宅株式会社,近畿,京都府,要確認,京都府,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=26&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-14,公的登録確認・公式サイト要確認,B,免許行政庁: 京都府; 免許番号: 第000219号; 自動追加日: 2026-08-14,宅地建物取引業者,,,,,
RE-MLIT-26-00000268,株式会社スミヤ,近畿,京都府,要確認,京都府,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=26&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-14,公的登録確認・公式サイト要確認,B,免許行政庁: 京都府; 免許番号: 第000268号; 自動追加日: 2026-08-14,宅地建物取引業者,,,,,
RE-MLIT-26-00000078,株式会社タイセイ,近畿,京都府,要確認,京都府,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=26&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-14,公的登録確認・公式サイト要確認,B,免許行政庁: 京都府; 免許番号: 第000078号; 自動追加日: 2026-08-14,宅地建物取引業者,,,,,
RE-MLIT-26-00000308,株式会社中井商店,近畿,京都府,要確認,京都府,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=26&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-14,公的登録確認・公式サイト要確認,B,免許行政庁: 京都府; 免許番号: 第000308号; 自動追加日: 2026-08-14,宅地建物取引業者,,,,,
RE-MLIT-26-00000045,株式会社加藤商店,近畿,京都府,要確認,京都府,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=26&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-14,公的登録確認・公式サイト要確認,B,免許行政庁: 京都府; 免許番号: 第000045号; 自動追加日: 2026-08-14,宅地建物取引業者,,,,,
RE-MLIT-26-00000186,株式会社山三製材所,近畿,京都府,要確認,京都府,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=26&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-14,公的登録確認・公式サイト要確認,B,免許行政庁: 京都府; 免許番号: 第000186号; 自動追加日: 2026-08-14,宅地建物取引業者,,,,,
RE-MLIT-26-00000223,株式会社山中商事,近畿,京都府,要確認,京都府,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=26&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-14,公的登録確認・公式サイト要確認,B,免許行政庁: 京都府; 免許番号: 第000223号; 自動追加日: 2026-08-14,宅地建物取引業者,,,,,
RE-MLIT-26-00000235,株式会社梅田不動産商事,近畿,京都府,要確認,京都府,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=26&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-14,公的登録確認・公式サイト要確認,B,免許行政庁: 京都府; 免許番号: 第000235号; 自動追加日: 2026-08-14,宅地建物取引業者,,,,,
RE-MLIT-28-00000042,三国商事株式会社,近畿,兵庫県,要確認,兵庫県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=28&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-15,公的登録確認・公式サイト要確認,B,免許行政庁: 兵庫県; 免許番号: 第000042号; 自動追加日: 2026-08-15,宅地建物取引業者,,,,,
RE-MLIT-28-00000699,中建不動産株式会社,近畿,兵庫県,要確認,兵庫県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=28&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-15,公的登録確認・公式サイト要確認,B,免許行政庁: 兵庫県; 免許番号: 第000699号; 自動追加日: 2026-08-15,宅地建物取引業者,,,,,
RE-MLIT-28-00000040,山陽電気鉄道株式会社,近畿,兵庫県,要確認,兵庫県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=28&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-15,公的登録確認・公式サイト要確認,B,免許行政庁: 兵庫県; 免許番号: 第000040号; 自動追加日: 2026-08-15,宅地建物取引業者,,,,,
RE-MLIT-28-00000034,明石神栄商事株式会社,近畿,兵庫県,要確認,兵庫県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=28&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-15,公的登録確認・公式サイト要確認,B,免許行政庁: 兵庫県; 免許番号: 第000034号; 自動追加日: 2026-08-15,宅地建物取引業者,,,,,
RE-MLIT-28-00000501,株式会社和興不動産,近畿,兵庫県,要確認,兵庫県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=28&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-15,公的登録確認・公式サイト要確認,B,免許行政庁: 兵庫県; 免許番号: 第000501号; 自動追加日: 2026-08-15,宅地建物取引業者,,,,,
RE-MLIT-28-00000292,株式会社神戸商会,近畿,兵庫県,要確認,兵庫県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=28&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-15,公的登録確認・公式サイト要確認,B,免許行政庁: 兵庫県; 免許番号: 第000292号; 自動追加日: 2026-08-15,宅地建物取引業者,,,,,
RE-MLIT-28-00000457,株式会社貝塚工務店,近畿,兵庫県,要確認,兵庫県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=28&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-15,公的登録確認・公式サイト要確認,B,免許行政庁: 兵庫県; 免許番号: 第000457号; 自動追加日: 2026-08-15,宅地建物取引業者,,,,,
RE-MLIT-28-00000107,神戸地所株式会社,近畿,兵庫県,要確認,兵庫県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=28&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-15,公的登録確認・公式サイト要確認,B,免許行政庁: 兵庫県; 免許番号: 第000107号; 自動追加日: 2026-08-15,宅地建物取引業者,,,,,
RE-MLIT-28-00000576,長野工務店,近畿,兵庫県,要確認,兵庫県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=28&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-15,公的登録確認・公式サイト要確認,B,免許行政庁: 兵庫県; 免許番号: 第000576号; 自動追加日: 2026-08-15,宅地建物取引業者,,,,,
RE-MLIT-28-00000111,霞ケ丘不動産株式会社,近畿,兵庫県,要確認,兵庫県,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=28&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-15,公的登録確認・公式サイト要確認,B,免許行政庁: 兵庫県; 免許番号: 第000111号; 自動追加日: 2026-08-15,宅地建物取引業者,,,,,
RE-MLIT-27-00000369,ふか喜株式会社,近畿,大阪府,要確認,大阪府,要確認,あり,マンション・土地・事業用・賃貸管理,あり,https://compalyze.co.jp/company/1120901019885,https://compalyze.co.jp/contact,https://compalyze.co.jp/company/1120901019885,要確認,公式サイト自動確認（確信度高・100点）。収益・投資用不動産表記あり。問い合わせ導線あり。物上げ適性C（30点: 用地仕入れ・開発・問い合わせ導線）,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=27&pageCount=1&pageListNo1=1&pageListNo2=1 | https://compalyze.co.jp/company/1120901019885 | https://compalyze.co.jp/contact,2026-08-19,自動確認済み,C,免許行政庁: 大阪府; 免許番号: 第000369号; 自動追加日: 2026-08-12; 公式サイト自動確認日: 2026-08-19,宅地建物取引業者,要確認,高,100,30,用地仕入れ・開発・問い合わせ導線
RE-MLIT-27-00000001,株式会社シティフィールド,近畿,大阪府,要確認,大阪府,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=27&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-12,公的登録確認・公式サイト要確認,B,免許行政庁: 大阪府; 免許番号: 第000001号; 自動追加日: 2026-08-12,宅地建物取引業者,,,,,
RE-MLIT-27-00000038,株式会社タイコーハウジングコア,近畿,大阪府,要確認,大阪府,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=27&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-12,公的登録確認・公式サイト要確認,B,免許行政庁: 大阪府; 免許番号: 第000038号; 自動追加日: 2026-08-12,宅地建物取引業者,,,,,
RE-MLIT-27-00000098,株式会社岸本工務店,近畿,大阪府,要確認,大阪府,要確認,要確認,要確認,要確認,要確認,要確認,要確認,要確認,国土交通省の企業情報検索システムで宅地建物取引業者登録を確認,https://etsuran2.mlit.go.jp/TAKKEN/takkenKensaku.do?CMD=selectPage&caller=TK&choice=1&rdoSelect=1&rdoSelectJoken=1&rdoSelectSort=1&sortValue=1&dispCount=50&licenseNoKbn=27&pageCount=1&pageListNo1=1&pageListNo2=1,2026-08-12,公的登録確認・公式サイト要確認,B,免許行政庁: 大阪府; 免許番号: 第000098号; 自動追加日: 2026-08-12,宅地建物取引業者,,,,,
RE-0010,株式会社福屋不動産販売,近畿,大阪府,大阪府大阪市北区,関西・首都圏・福岡,あり,あり,マンション・土地・事業用,あり,https://www.fukuya-k.co.jp/,https://www.fukuya-k.co.jp/contact,https://www.fukuya-k.co.jp/kansai/investment/,要確認,戸建てと投資・収益用物件の双方を地域店舗で扱う,https://www.fukuya-k.co.jp/shutoken/investment/tokyo/nerima-ku | https://www.fukuya-k.co.jp/kansai/ikkodate/hyogo/station/kyoguchi_6613050,2026-07-15,確認済み,A,問い合わせ先は取扱店舗選択式,,,,,,
